4;12;20;28;36;44;1
0.329628;0.468955;0.903551;1.12217;1.61907;1.94341;0.0105723
1.12255;0.448189;0.884295;1.19693;1.43519;1.77878;0.0226549
1.67608;0.467068;0.94433;1.40309;1.55299;2.06575;0.0936401
2.02232;0.482171;0.89902;1.21015;1.98721;2.0631;0.182749
1.5209;0.661899;1.01645;1.25961;2.21187;2.80731;0.18879
1.50617;0.763469;1.19014;2.54792;2.12427;3.18225;0.262419

4;12;20;28;36;44;1
0.50256;0.450076;0.834831;1.93435;1.48956;1.71044;0.0101947
1.61001;0.555799;1.11235;1.18674;1.75688;1.76708;0.0460649
1.32493;0.422891;0.846536;1.64399;1.53638;1.75235;0.0966607
1.29548;0.541451;0.851067;1.95058;1.91131;2.41803;0.157074
3.6176;0.599598;0.980578;1.24526;2.65137;1.99514;0.282053
1.40347;0.706831;0.927339;1.73121;1.76783;2.51356;0.291492

